표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7046970000","046970","우리로","우리로","WOORIRO CO., LTD","2012/11/27","KOSDAQ","주권","벤처기업부","보통주","500","28163495"
"KR7082850009","082850","우리바이오","우리바이오","WOOREE BIO CO., LTD","2005/07/29","KOSDAQ","주권","중견기업부","보통주","500","44917878"
"KR7215360009","215360","우리산업","우리산업","WOORY INDUSTRIAL CO.,LTD.","2015/05/06","KOSDAQ","주권","우량기업부","보통주","500","9132163"
"KR7072470008","072470","우리산업홀딩스","우리산업홀딩스","WOORY INDUSTRIAL HOLDINGS CO.,LTD.","2003/10/28","KOSDAQ","주권","중견기업부","보통주","500","18887341"
"KR7073560005","073560","우리손에프앤지 농업회사법인","우리손에프앤지","Woorison F&G CO., LTD.","2016/07/27","KOSDAQ","주권","우량기업부","보통주","500","69237643"
"KR7153490008","153490","우리이앤엘","우리이앤엘","WOOREE E&L CO.,Ltd.","2013/02/05","KOSDAQ","주권","중견기업부","보통주","500","49900000"
"KR7037400009","037400","우리조명","우리조명","WOOREE LIGHTING CO.,LTD","1999/12/16","KOSDAQ","주권","중견기업부","보통주","500","24923346"
"KR7101170009","101170","우림기계","우림기계","WOORIM MACHINERY Co., Ltd.","2009/04/28","KOSDAQ","주권","벤처기업부","보통주","500","13500000"
"KR7066590001","066590","우수AMS","우수AMS","WOOSU AMS CO., LTD.","2003/02/12","KOSDAQ","주권","중견기업부","보통주","500","35379400"
"KR7103840005","103840","우양","우양","WOOYANG CO., LTD.","2019/11/20","KOSDAQ","주권","중견기업부","보통주","100","12858000"
"KR7046940003","046940","우원개발","우원개발","Woowon Development Co., Ltd.","2002/06/18","KOSDAQ","주권","우량기업부","보통주","500","18074350"
"KR7215380007","215380","우정바이오","우정바이오","WOOJUNG BIO, Inc.","2015/05/18","KOSDAQ","주권","벤처기업부","보통주","500","12092926"
